"composer_name","composer_cat_name","composer_page_id","composer_ns"
"Albert, Charles d'","Category:Albert, Charles d'","207599","14"
"Albert, Eugen d'","Category:Albert, Eugen d'","8076","14"
"Albert, Heinrich","Category:Albert, Heinrich","418325","14"
"Alberti, Domenico","Category:Alberti, Domenico","45220","14"
"Alberti, Giuseppe Matteo","Category:Alberti, Giuseppe Matteo","178189","14"
"Alberti, Innocentio","Category:Alberti, Innocentio","195441","14"
"Alberti, Johann Friedrich","Category:Alberti, Johann Friedrich","305112","14"
"Alberti, Luigi de","Category:Alberti, Luigi de","432176","14"
"Albertini, Ignazio","Category:Albertini, Ignazio","305330","14"
"Albertini, Thomas Anton","Category:Albertini, Thomas Anton","426965","14"
"Albertus, A.O.","Category:Albertus, A.O.","458207","14"
"Albery, Dorothy","Category:Albery, Dorothy","355120","14"
"Albicastro, Henricus","Category:Albicastro, Henricus","237353","14"
"Albini, Felix","Category:Albini, Felix","380680","14"
"Albinoni, Tomaso","Category:Albinoni, Tomaso","70443","14"
"Albites, Luciano","Category:Albites, Luciano","300096","14"
"Albrecht of Prussia, Prince Joachim","Category:Albrecht of Prussia, Prince Joachim","136146","14"
"Albrecht, C.","Category:Albrecht, C.","355143","14"
"Albrecht, Eugen Maria","Category:Albrecht, Eugen Maria","413268","14"
"Albrecht, Hartwig","Category:Albrecht, Hartwig","220478","14"
"Albrecht, Ludwig","Category:Albrecht, Ludwig","192350","14"
"Albrechtsberger, Johann Georg","Category:Albrechtsberger, Johann Georg","72843","14"
"Albrici, Vincenzo","Category:Albrici, Vincenzo","66203","14"
"Alburger, Mark","Category:Alburger, Mark","198955","14"
"Alcock Jr., John","Category:Alcock Jr., John","147081","14"
"Alcock Sr., John","Category:Alcock Sr., John","147083","14"
"Alcock, Gilbert A.","Category:Alcock, Gilbert A.","355146","14"
"Alday, François","Category:Alday, François","232118","14"
"Alden, Bob","Category:Alden, Bob","355157","14"
"Aldrich, Perley Dunn","Category:Aldrich, Perley Dunn","226876","14"
"Aldrovandini, Giuseppe Antonio Vincenzo","Category:Aldrovandini, Giuseppe Antonio Vincenzo","93395","14"
"Alejandre Prada, Manuel","Category:Alejandre Prada, Manuel","102131","14"
"Alenev, Yevgeny","Category:Alenev, Yevgeny","224687","14"
"Aleotti, Vittoria","Category:Aleotti, Vittoria","222566","14"
"Aleshina, Zhanna","Category:Aleshina, Zhanna","416687","14"
"Alessandro, Raffaele d'","Category:Alessandro, Raffaele d'","355183","14"
"Aletter, Wilhelm","Category:Aletter, Wilhelm","107910","14"
"Alexander, Joseph","Category:Alexander, Joseph","198045","14"
"Alexander, Lionel A.","Category:Alexander, Lionel A.","355234","14"
"Alexandre, Edouard","Category:Alexandre, Edouard","307700","14"
"Alexanian, Diran","Category:Alexanian, Diran","162654","14"
"Alfano, Franco","Category:Alfano, Franco","66778","14"
"Alferaki, Achilles","Category:Alferaki, Achilles","70458","14"
"Alfieri, Pietro","Category:Alfieri, Pietro","453938","14"
"Alfonso X of Castile","Category:Alfonso X of Castile","393030","14"
"Alford, Kenneth J.","Category:Alford, Kenneth J.","278299","14"
"Alfvén, Hugo","Category:Alfvén, Hugo","162671","14"
"Aliani, Nicola","Category:Aliani, Nicola","72175","14"
"Alıcıoğlu, Şafak","Category:Alıcıoğlu, Şafak","410683","14"
"Alink, Bert","Category:Alink, Bert","424593","14"
"Alió, Francisco","Category:Alió, Francisco","78142","14"
"Aliseda, Jerónimo de","Category:Aliseda, Jerónimo de","183302","14"
"Alkan, Charles-Valentin","Category:Alkan, Charles-Valentin","6777","14"
"Alkan, Maxime","Category:Alkan, Maxime","160946","14"
"Alkan, Napoléon","Category:Alkan, Napoléon","70455","14"
"Allaga, Géza","Category:Allaga, Géza","92098","14"
"Allegri, Filippo","Category:Allegri, Filippo","447599","14"
"Allegri, Gregorio","Category:Allegri, Gregorio","21400","14"
"Allegri, Lorenzo","Category:Allegri, Lorenzo","205499","14"
"Allegrini, Giovanni","Category:Allegrini, Giovanni","447815","14"
"Allen, Euphemia","Category:Allen, Euphemia","25295","14"
"Allen, Francis D.","Category:Allen, Francis D.","426785","14"
"Allen, Nathan Hale","Category:Allen, Nathan Hale","191524","14"
"Allen, Paul Hastings","Category:Allen, Paul Hastings","79681","14"
"Allende, Pedro Humberto","Category:Allende, Pedro Humberto","141052","14"
"Allier, Gabriel","Category:Allier, Gabriel","46529","14"
"Allihn, Max","Category:Allihn, Max","442737","14"
"Allison, Richard","Category:Allison, Richard","54339","14"
"Allitsen, Frances","Category:Allitsen, Frances","365011","14"
"Almeder, Hugo","Category:Almeder, Hugo","195054","14"
"Almenräder, Carl","Category:Almenräder, Carl","218796","14"
"Alnæs, Eyvind","Category:Alnæs, Eyvind","79208","14"
"Aloiz, Vladislav","Category:Aloiz, Vladislav","224499","14"
"Alpaerts, Flor","Category:Alpaerts, Flor","66557","14"
"Alphonse, Maxime","Category:Alphonse, Maxime","27035","14"
"Alsuyet, Claudio","Category:Alsuyet, Claudio","207607","14"
"Alt, Georg Martin","Category:Alt, Georg Martin","352734","14"
"Altan, Torumtay","Category:Altan, Torumtay","372401","14"
"Altenburg, Johann Ernst","Category:Altenburg, Johann Ernst","271319","14"
"Altenburg, Michael","Category:Altenburg, Michael","237665","14"
"Altès, Ernest Eugène","Category:Altès, Ernest Eugène","43093","14"
"Altès, Joseph-Henri","Category:Altès, Joseph-Henri","454719","14"
"Althaus, Basil","Category:Althaus, Basil","298848","14"
"Altnikol, Johann Christoph","Category:Altnikol, Johann Christoph","133625","14"
"Álvarez, Benjamín","Category:Álvarez, Benjamín","414823","14"
"Álvarez, Carlos","Category:Álvarez, Carlos","274696","14"
"Alvarez, Fermin María","Category:Alvarez, Fermin María","78093","14"
"Alveri, Giovanni Battista","Category:Alveri, Giovanni Battista","411925","14"
"Alyabyev, Aleksandr","Category:Alyabyev, Aleksandr","224697","14"
"Alzedo, José Bernardo","Category:Alzedo, José Bernardo","456117","14"
"Amadeo, Gaetano","Category:Amadeo, Gaetano","236166","14"
"Amalia, Anna","Category:Amalia, Anna","224191","14"
"Amani, Nikolay","Category:Amani, Nikolay","70464","14"
"Amann, Vincent Aloïse","Category:Amann, Vincent Aloïse","297373","14"
"Amato, Alessandro","Category:Amato, Alessandro","342747","14"
"Amatucci, Paolo","Category:Amatucci, Paolo","437971","14"
"Amberg, Johan","Category:Amberg, Johan","27769","14"
"Ambeville, Charles d'","Category:Ambeville, Charles d'","314759","14"
"Ambrose, Paul","Category:Ambrose, Paul","365014","14"
"Ambrose, Robert","Category:Ambrose, Robert","462412","14"
"D'Ambrosio, Alfredo","Category:D'Ambrosio, Alfredo","76578","14"
"D'Ambrosio, Luigi","Category:D'Ambrosio, Luigi","414881","14"
"Ames, John Carlowitz","Category:Ames, John Carlowitz","356956","14"
"Ammann, Johann Jakob","Category:Ammann, Johann Jakob","384764","14"
"Ammerbach, Elias Nikolaus","Category:Ammerbach, Elias Nikolaus","444935","14"
"Ammon, Blasius","Category:Ammon, Blasius","103749","14"
"Amon, Johann Andreas","Category:Amon, Johann Andreas","41393","14"
"Anacker, August Ferdinand","Category:Anacker, August Ferdinand","389915","14"
"Anagnino, Spirito","Category:Anagnino, Spirito","285525","14"
